Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
RF,meanFscore,cv_RF_train.meanFscore,0.875877896,Camera,Unigram_Composite,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.500471007,Camera,Unigram_Composite,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.501,Camera,Unigram_Composite,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Unigram_Composite,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.666619639,Camera,Unigram_Composite,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.813178985,Camera,Unigram_Composite,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.838,Camera,Unigram_Composite,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.781,Camera,Unigram_Composite,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.807811517,Camera,Unigram_Composite,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.892466182,Camera,Unigram_Composite,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.875,Camera,Unigram_Composite,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.873,Camera,Unigram_Composite,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.873295684,Camera,Unigram_Composite,2k
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.806436205,Camera,Unigram_Bigram,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.867,Camera,Unigram_Bigram,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.721,Camera,Unigram_Bigram,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.786929502,Camera,Unigram_Bigram,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.9449472,Camera,Unigram_Bigram,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.944,Camera,Unigram_Bigram,2k
MX,meanRecall,cv_MX_train.meanRecall,0.946,Camera,Unigram_Bigram,2k
MX,meanFscore,cv_MX_train.meanFscore,0.944683564,Camera,Unigram_Bigram,2k
